target_id,model_id,probability,target_round,target_result,target_reward,target_regret
53,model4_xgb,1.0,0,0,0,0
53,model5_lgbm,0.0,0,0,0,0
53,model_baseline,1.0,0,0,0,0
54,model1_rf,1.0,0,0,0,0
54,model2_lr,1.0,0,0,0,0
54,model3_lr,1.0,0,0,0,0
54,model4_xgb,1.0,0,0,0,0
54,model5_lgbm,1.0,0,0,0,0
54,model_baseline,0.0,0,0,0,0
55,model1_rf,1.0,0,0,0,0
55,model2_lr,1.0,0,0,0,0
55,model3_lr,1.0,0,0,0,0
55,model4_xgb,1.0,0,0,0,0
55,model5_lgbm,1.0,0,0,0,0
55,model_baseline,0.0,0,0,0,0
56,model1_rf,1.0,0,0,0,0
56,model2_lr,1.0,0,0,0,0
56,model3_lr,1.0,0,0,0,0
56,model4_xgb,1.0,0,0,0,0
56,model5_lgbm,1.0,0,0,0,0
56,model_baseline,0.0,0,0,0,0
58,model1_rf,1.0,0,0,0,0
58,model2_lr,1.0,0,0,0,0
58,model3_lr,1.0,0,0,0,0
58,model4_xgb,1.0,0,0,0,0
58,model5_lgbm,1.0,0,0,0,0
58,model_baseline,0.0,0,0,0,0
59,model1_rf,1.0,0,0,0,0
59,model2_lr,1.0,0,0,0,0
59,model3_lr,1.0,0,0,0,0
59,model4_xgb,1.0,0,0,0,0
59,model5_lgbm,0.0,0,0,0,0
59,model_baseline,1.0,0,0,0,0
60,model1_rf,0.0,0,0,0,0
60,model2_lr,0.0,0,0,0,0
60,model3_lr,1.0,0,0,0,0
60,model4_xgb,1.0,0,0,0,0
60,model5_lgbm,1.0,0,0,0,0
60,model_baseline,0.0,0,0,0,0
62,model1_rf,0.0,0,0,0,0
62,model2_lr,0.0,0,0,0,0
62,model3_lr,0.0,0,0,0,0
62,model4_xgb,1.0,0,0,0,0
62,model5_lgbm,1.0,0,0,0,0
62,model_baseline,0.0,0,0,0,0
63,model1_rf,0.0,0,0,0,0
63,model2_lr,0.0,0,0,0,0
63,model3_lr,0.0,0,0,0,0
63,model4_xgb,0.0,0,0,0,0
63,model5_lgbm,1.0,0,0,0,0
63,model_baseline,0.0,0,0,0,0
64,model1_rf,1.0,0,0,0,0
64,model2_lr,1.0,0,0,0,0
64,model3_lr,1.0,0,0,0,0
64,model4_xgb,1.0,0,0,0,0
64,model5_lgbm,1.0,0,0,0,0
64,model_baseline,1.0,0,0,0,0
65,model1_rf,1.0,0,0,0,0
65,model2_lr,1.0,0,0,0,0
65,model3_lr,0.0,0,0,0,0
65,model4_xgb,1.0,0,0,0,0
65,model5_lgbm,1.0,0,0,0,0
65,model_baseline,0.0,0,0,0,0
66,model1_rf,0.0,0,0,0,0
66,model2_lr,1.0,0,0,0,0
66,model3_lr,0.0,0,0,0,0
66,model4_xgb,1.0,0,0,0,0
66,model5_lgbm,1.0,0,0,0,0
66,model_baseline,1.0,0,0,0,0
67,model1_rf,0.0,0,0,0,0
67,model2_lr,0.0,0,0,0,0
67,model3_lr,0.0,0,0,0,0
67,model4_xgb,1.0,0,0,0,0
67,model5_lgbm,0.0,0,0,0,0
67,model_baseline,1.0,0,0,0,0
68,model1_rf,1.0,0,0,0,0
68,model2_lr,1.0,0,0,0,0
68,model3_lr,1.0,0,0,0,0
68,model4_xgb,1.0,0,0,0,0
68,model5_lgbm,1.0,0,0,0,0
68,model_baseline,1.0,0,0,0,0
70,model1_rf,1.0,0,0,0,0
70,model2_lr,1.0,0,0,0,0
70,model3_lr,1.0,0,0,0,0
70,model4_xgb,1.0,0,0,0,0
70,model5_lgbm,0.0,0,0,0,0
70,model_baseline,0.0,0,0,0,0
71,model1_rf,1.0,0,0,0,0
71,model2_lr,1.0,0,0,0,0
71,model3_lr,0.0,0,0,0,0
71,model4_xgb,0.0,0,0,0,0
71,model5_lgbm,0.0,0,0,0,0
71,model_baseline,0.0,0,0,0,0
72,model1_rf,1.0,0,0,0,0
72,model2_lr,1.0,0,0,0,0
72,model3_lr,0.0,0,0,0,0
72,model4_xgb,1.0,0,0,0,0
72,model5_lgbm,0.0,0,0,0,0
72,model_baseline,1.0,0,0,0,0
74,model1_rf,1.0,0,0,0,0
74,model2_lr,0.0,0,0,0,0
74,model3_lr,1.0,0,0,0,0
74,model4_xgb,1.0,0,0,0,0
74,model5_lgbm,1.0,0,0,0,0
74,model_baseline,1.0,0,0,0,0
75,model1_rf,0.0,0,0,0,0
75,model2_lr,0.0,0,0,0,0
75,model3_lr,1.0,0,0,0,0
75,model4_xgb,1.0,0,0,0,0
